JOL_Bin,Direction,Average,Upper,Lower
0,B,35.71428571,53.81216284,17.61640859
10,B,45.78231293,64.13454978,27.43007607
20,B,48.91023076,67.36651648,30.45394503
30,B,49.06353152,67.35421422,30.77284881
40,B,54.99426745,73.27643338,36.71210152
50,B,59.37906344,76.65373396,42.10439291
60,B,63.5341527,81.57048496,45.49782044
70,B,62.44468661,79.74654872,45.14282451
80,B,64.10564226,81.72106108,46.49022344
90,B,59.77684407,77.36901583,42.18467231
100,B,53,71.21094135,34.78905865
0,F,36.36363636,54.72647194,18.00080079
10,F,57.31624758,74.46568376,40.16681141
20,F,67.67565562,84.93993007,50.41138116
30,F,69.11855119,86.37538895,51.86171343
40,F,72.54447712,88.95378578,56.13516845
50,F,79.04936421,94.24115065,63.85757776
60,F,83.27400627,95.57624417,70.97176837
70,F,84.22308035,97.24502223,71.20113846
80,F,82.11444998,96.54471213,67.68418782
90,F,79.84615297,94.26216685,65.4301391
100,F,78.28282828,93.32780227,63.2378543
0,S,71.42857143,88.49141362,54.36572924
10,S,73.47919348,89.84938574,57.10900122
20,S,76.16539617,91.99628249,60.33450984
30,S,76.35863288,91.24740254,61.46986322
40,S,77.49704402,93.65557894,61.3385091
50,S,78.06684459,92.93547701,63.19821216
60,S,80.46328416,94.74591759,66.18065073
70,S,81.10386721,95.40907507,66.79865935
80,S,79.44156595,93.76160871,65.12152319
90,S,78.12583602,93.65469919,62.59697285
100,S,77.15517241,92.46856936,61.84177546
0,U,8.843537415,19.21275655,0
10,U,8.97886477,18.0600775,0
20,U,13.32268563,24.97092717,1.674444096
30,U,15.96528813,31.07058422,0.859992032
40,U,18.91521927,31.80576782,6.024670713
50,U,19.06402879,33.77047177,4.357585806
60,U,19.7201311,34.94369036,4.49657183
70,U,16.42765041,30.00418387,2.851116948
80,U,10.74156019,21.95844728,-0.47532691
90,U,11.03407448,19.23349458,2.834654376
100,U,17.39130435,31.33920006,3.443408637
