Username,ID,Gender,Age,Education,Race,Fluent,AgeEnglish,Country,consent
555,2jci68mdfc,Male,22,"Some High School",White,Yes,2,222,on
4554,dnn37p4lyo,Male,22,"Associates degree",White,Yes,0,000,on
ddd,ozyrmt7nfz,Male,22,"Bachelors degree",White,Yes,44,2,on
adsfa,q282itrdfs,Female,22,"High School Graduate",White,Yes,2,adsfa,on
222,urq24sdbso,Female,22,"Some High School","American Indian/Alaskan Native",No,5,45,on
dad,9291uaqj31,Female,22,"Graduate degree (Masters, Doctorate, etc.)",Black,Yes,2,222,on
adfa,pqraessj88,Male,22,"Associates degree",White,Yes,33,adfa,on
1111,x9n03q6h7q,Male,22,"Associates degree",Black,Yes,4,44,on
4444,k6wpy120e2,Male,55,"Associates degree",White,Yes,0,usa,on
122,56tft5v5vq,Male,22,"Associates degree",White,Yes,22,222,on
546465,nawu3mta90,Male,22,"Associates degree","Asian/Pacific Islander",Yes,0,usa,on
4654654,o30vhtn2rf,Male,22,"Bachelors degree",White,Yes,22,0,on
2222,pka5bslsgs,Male,22,"Graduate degree (Masters, Doctorate, etc.)",White,Yes,0,000,on
24242,0ioom4pcj0,Male,44,"Bachelors degree",White,Yes,4,42242,on
2222,v29pnplwda,Male,22,"Associates degree",White,Yes,2,222,on
456456,ts7nt51287,Male,55,"Bachelors degree",White,Yes,5,4564564,on
454,qq53mah007,Male,55,"High School Graduate",White,Yes,5,5,on
100,yp91iejd1a,Male,22,"Bachelors degree","Asian/Pacific Islander",Yes,0,000,on
23232,5tuijfzxun,Male,22,"Some College, no degree",White,Yes,0,0000,on
adfadf,r4dlx7x58d,Female,12,"Associates degree",White,Yes,0,adsf,on
adsfadsfa,owyor4cqhw,Male,33,"Some College, no degree",White,Yes,asdfa,asfadf,on
fadsf,hkkfywllaa,Male,22,"Associates degree",White,Yes,0,00,on
adfadf,xu8uqx4xdz,Male,22,"Bachelors degree",White,Yes,0,000,on
hlkjhklh,4h3ozj8lah,Male,55,"Some College, no degree",White,Yes,22,456465,on
sfgsfg,9n6erokzpf,Male,22,"Associates degree",White,Yes,2,222,on
adfadf,vb84bqb4vn,Male,22,"Bachelors degree",White,Yes,22,dfg,on
adfadfaf,zcgkjueql1,Male,55,"High School Graduate","Asian/Pacific Islander",Yes,0,5454,on
